nombre,apellido Paterno,apellido materno,correo,cod tel,telefono,matricula,curp,fecha de nacimiento,carreara,inicio generacion,inicio periodo,fin generacion,fin periodo,plan estudio,,,,,periodo,
victor,martinez,sanchez,x@gmail.com,123,1234567890,19777391,MASV990831,31/08/1999,7,2017,2,2023,2,B,,,Carreras,,,AGO-DIC
fernando,martinez,sanchez,x@gmail.com,,1234567890,29777391,MASV990831,09/06/1999,7,2017,1,2023,1,B,,,LICENCITURA EN ADMINISTRACION DE EMPRESAS,,,ENE-JUN
donovan,martinez,sanchez,x@gmail.com,123,1234567890,D15530001,MASV990831,25/08/1999,7,2017,2,2023,1,B,,,LICENCITURA EN ADMINISTRACION,,,
omar,vazques,sanchez,x@gmail.com,123,1234567890,29860391,MASV990831,28/08/1999,7,2017,1,2023,2,B,,,INGENIERIA ELECTROMECANICA,,,
,,,,,,,,,,,,,,,,,LICENCIATURA EN INFORMATICA,,,
,,,,,,,,,,,,,,,,,LICENCIATURA EN CONTADURIA,,,
,,,,,,,,,,,,,,,,,INGENIERIA EN PESCA INDUSTRIAL,,,
,,,,,,,,,,,,,,,,,INGENIERIA EN SISTEMAS COMPUTACIONALES,,,
,,,,,,,,,,,,,,,,,MANTENIMIENTO INDUSTRIAL,,,
,,,,,,,,,,,,,,,,,INGENIERIA CIVIL,,,
,,,,,,,,,,,,,,,,,INGENIERÍA EN GESTIÓN EMPRESARIAL,,,
,,,,,,,,,,,,,,,,,INGENIERÍA EN MECATRÓNICA,,,
,,,,,,,,,,,,,,,,,CONTADOR PÚBLICO,,,
,,,,,,,,,,,,,,,,,INGENIERÍA EN ADMINISTRACIÓN,,,
,,,,,,,,,,,,,,,,,INGENIERÍA INFORMÁTICA,,,
,,,,,,,,,,,,,,,,,ARQUITECTURA,,,
,,,,,,,,,,,,,,,,,MAESTRÍA EN CIENCIAS AMBIENTALES,,,
,,,,,,,,,,,,,,,,,MAESTRÍA EN ADMINISTRACIÓN DE NEGOCIO,,,
,,,,,,,,,,,,,,,,,DOCTORADO EN CIENCIAS EN MATERIALES,,,
,,,,,,,,,,,,,,,,,DOCTORADO EN CIENCIAS AMBIENTALES,,,
,,,,,,,,,,,,,,,,,INGLÉS,,,
